dc:title,dc:description,dc:creator,dc:type,dc:rights,dc:format,dcterms:created
"Charm class, Lower North Centre, Chicago, United States.","Portrait photographs of young African American women, standing, seated, posed looking out of window, profiles, standing in front of a blackboard, includes young girls, one in a party frock; Also shows them in a group in 'classes'; putting on makeup.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1953/1961
Mary Cowan.,"Portraits of people associated with Mary Cowan; includes small children, women, family group at a dining table, boys with balloons, family group standing near a dining table.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1980/1989
Chris Hazelwood (Rob and Justine).,"Includes portraits of  young woman with long hair, young children playing, woman with long hair with small child, man with beard","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1968-08
Family portraits.,"Includes a woman wearing a navy blue scarf, small girl with blue dress, family group walking through gardens.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1970/1979
"Brunswick Street, Fitzroy.","Includes other images of buildings in Brunswick Street Fitzroy, including a plant nursery and three storey terrace. Also includes details of architecture of the area showing decorative wrought iron around verandahs and the facade of a single storey terrace house.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1987/1993
Clem Fraser and Jose Diaz.,"Images show Clement Fraser and Jose Diaz working in storage room at a large table, rolling up and packing copies of Clem Fraser's map: Australia the Awakening Giant;  flat packs and postal tubes stored around room and on floor, maps on wall in background with prices attached.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1970/1979
Jan Stewart.,"Shows the model Jan Stewart in various poses including standing surrounded by a football team, standing on a pathway in a park, head and shoulders portraits, wearing a yellow dress with fringe at the hemline, wearing a pink plaid jacket and pink pants, wearing a red leisure suit and holding a cigarette, wearing a blue and green dress and wearing a red dress with straw hat.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1960/1969
Phillip Colbran.,"Man, head and shoulders, with moustache, wearing a suit.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1970/1989
"Charm class, Lower North Centre, Chicago, United States.","Portrait photographs of young African American women, standing, seated, posed looking out of window, profiles, standing in front of a blackboard, includes young girls, one in a party frock; Also shows them in a group in 'classes'; putting on makeup.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1953/1961
Mary Cowan.,"Portraits of people associated with Mary Cowan; includes small children, women, family group at a dining table, boys with balloons, family group standing near a dining table.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1980/1989
Texture and design in nature and construction.,"Looking along path in Carlton Gardens towards Exhibition Fountain by Josef Hochgurtel, branches of trees silhouetted like lace framing the view of the fountain.  Other images include face on a television, drawings of Veronica by Maggie Diaz, interior designs, views through wooden structures, architectural details, landscapes and city views.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1960/1969
